"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.735687205,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.414164329,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.672249597,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.212097461,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.195212747,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.375024003,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.861465374,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.612222858,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.503593062,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309311452,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.018690252,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.018693573,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.690955512,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.01869894,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.154830271,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.403184297,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.370829119,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.07064201,"P"
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.62544204,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.722000028,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.491408929,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.260451512,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.728342976,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.758946556,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.863114998,"E"
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.192515509,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.123135723,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.011526153,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.221341567,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.459410543,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.791825003,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.884115459,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.019986125,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.22705552,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.224614364,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.392569013,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.737419531,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.035206842,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.910990522,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",3.275981313,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.318017407,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.054417735,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.062896728,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.234188294,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.062676427,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.299957126,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.122277751,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.193310474,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.302411323,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.545805518,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.245805777,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.154693014,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.196374882,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.871507832,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.811839451,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.619210546,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.854915137,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.212183472,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.896620981,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.688364803,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.047965833,"P"
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.076850175,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.873258808,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.786913122,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.06011763,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.341558101,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.451525707,
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.984881419,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.674360182,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.663202411,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.756940714,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.288235146,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.008811765,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.491651471,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.633876085,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.483089533,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.211439932,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.301300203,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.264722907,"P"
